foodweb.name,avg_water_temp,seasonality_water_temp,avg_chl,interann_seasonality_chl,interann_avg_salininty,interann_avg_temp
AP1,NA,NA,-0.19773922814721084,-1.0507733498391492,-1.344524463614683,-1.344524463614683
AP2,NA,NA,-0.19773922814721084,-1.0507733498391492,-1.344524463614683,-1.344524463614683
AP3,NA,NA,-0.19773922814721084,-1.0507733498391492,-1.344524463614683,-1.344524463614683
AP4,NA,NA,-0.19773922814721084,-1.0507733498391492,-1.344524463614683,-1.344524463614683
BP1,0.925884230111001,-0.03926530480505367,-0.19040456993779106,-1.0179405134509765,0.5502204905215757,0.5502204905215757
BP2,0.925884230111001,-0.03926530480505367,-0.19040456993779106,-1.0179405134509765,0.5502204905215757,0.5502204905215757
BP3,0.9258615863844603,-0.039417474138828276,-0.19040456993779106,-1.0179405134509765,0.5632436540549468,0.5632436540549468
Caribbean Reef,1.425054217071783,-1.0041759527063554,-1.7271551251346686,-1.159155424083625,-0.4627270688697759,-0.4627270688697759
Carpinteria,0.035519220676493185,-0.041752134998965136,0.5662848069683625,1.0084796578495583,-0.005248562307472481,-0.005248562307472481
CGP1,NA,NA,0.057996332048447424,-0.8498786281969162,-1.344524463614683,-1.344524463614683
CGP2,NA,NA,0.05778179558412379,-0.84976552094576,-1.344524463614683,-1.344524463614683
CGP3,NA,NA,0.05778179558412379,-0.84976552094576,-1.344524463614683,-1.344524463614683
Chesapeake Bay,-0.008872930180416546,5.048466572766228,1.2662147697809645,0.22333938579274074,2.651824803528955,2.651824803528955
Chilean Intertidal Curaumilla,-0.25482886849492886,-0.5726254859431985,0.37270817997383093,0.5444088363696887,-1.273723346737473,-1.273723346737473
Chilean Intertidal El Quisco,-0.25962043163450593,-0.5493841099489561,0.1345189399770206,-0.11930174656966382,-0.17394180718931337,-0.17394180718931337
Chilean Intertidal Las Cruces,-0.2659078331502486,-0.5101262079854786,0.22267560101782138,0.29812474115894433,0.3772871841568669,0.3772871841568669
Chilean Intertidal Los Molles,-0.2137302227560853,-0.6211527451806728,0.01017340438772762,0.6839443264993146,1.3106017860934736,1.3106017860934736
CR1P1,0.05306081762777485,-0.7231649953396773,0.31944960865573013,0.3395117068413355,-0.05943283823465862,-0.05943283823465862
CR1P2,0.05306081762777485,-0.7231649953396773,0.31944960865573013,0.3395117068413355,-0.05943283823465862,-0.05943283823465862
CR1P3,0.05306081762777485,-0.7231649953396773,0.31944960865573013,0.3395117068413355,-0.05943283823465862,-0.05943283823465862
CR1P4,0.05306081762777485,-0.7231649953396773,0.31944960865573013,0.3395117068413355,-0.05943283823465862,-0.05943283823465862
CR2P1,0.05308450308989203,-0.7229750014930696,0.31896435874536794,0.3378579738730844,-0.04325130313183799,-0.04325130313183799
CR2P2,0.05308450308989203,-0.7229750014930696,0.31896435874536794,0.3378579738730844,-0.04325130313183799,-0.04325130313183799
CR2P3,0.05308450308989203,-0.7229750014930696,0.31896435874536794,0.3378579738730844,-0.04325130313183799,-0.04325130313183799
CR2P4,0.05308450308989203,-0.7229750014930696,0.31896435874536794,0.3378579738730844,-0.04325130313183799,-0.04325130313183799
F1P1,1.0031115066544931,-0.35515995817845886,-1.3173263198953782,-0.8367294689839732,-0.9769494910771063,-0.9769494910771063
