foodweb.name,avg_water_temp,seasonality_water_temp,avg_chl,interann_seasonality_chl,interann_avg_salininty,interann_avg_temp
AP1,NA,NA,0.2588389320613184,0.2352665885100959,0,0
AP2,NA,NA,0.2588389320613184,0.2352665885100959,0,0
AP3,NA,NA,0.2588389320613184,0.2352665885100959,0,0
AP4,NA,NA,0.2588389320613184,0.2352665885100959,0,0
BP1,3702.5287164616093,2333.1527125138623,0.26306665973927024,0.30086353982982966,2198.8168354172135,2198.8168354172135
BP2,3702.5287164616093,2333.1527125138623,0.26306665973927024,0.30086353982982966,2198.8168354172135,2198.8168354172135
BP3,3702.345336858108,2332.9723876950734,0.26306665973927024,0.30086353982982966,2213.9299783048914,2213.9299783048914
Caribbean Reef,7745.043278870733,1189.7072270521721,-0.6227227895863593,0.018729291394097992,1023.3097350434771,1023.3097350434771
Carpinteria,-3508.068095284046,2330.205750777537,0.6992255823526969,4.349462441203229,1554.205167631803,1554.205167631803
CGP1,NA,NA,0.4062459788800992,0.6366355448852512,0,0
CGP2,NA,NA,0.4061223191645059,0.6368615226460601,0,0
CGP3,NA,NA,0.4061223191645059,0.6368615226460601,0,0
Chesapeake Bay,-3867.576721570545,8362.254017698622,1.1026681412179868,2.7808252513981273,4637.690170183585,4637.690170183585
Chilean Intertidal Curaumilla,-5859.444198221407,1701.1063229606787,0.5876472046856516,3.4222921314066017,82.16340010094888,82.16340010094888
Chilean Intertidal El Quisco,-5898.24854198089,1728.6479886209506,0.45035393023810477,2.096260158879596,1358.4397449253781,1358.4397449253781
Chilean Intertidal Las Cruces,-5949.166892144238,1775.1696752314892,0.5011677984834382,2.930239431074454,1998.13089897548,1998.13089897548
Chilean Intertidal Los Molles,-5526.60793355307,1643.600194680711,0.37868064329946466,3.701071053982585,3081.225409927451,3081.225409927451
CR1P1,-3366.007949490387,1522.7128905973657,0.556948741359776,3.012926736582951,1491.3253072772466,1491.3253072772466
CR1P2,-3366.007949490387,1522.7128905973657,0.556948741359776,3.012926736582951,1491.3253072772466,1491.3253072772466
